,location,location_population,occupation,hobbies,friends_number,sex,credit_card_type,relationship_status,education,dob,daily_commute
561,Bytom,168394,Health associate professionals,Rock climbing,258,0.0,Visa,Married with kids,5.0,61.0,52.0
562,Łaziska Górne,22390,Food preparation assistants,"Weightlifting,Stretching,Quilting,Writing",173,0.0,Visa,In relationship,4.0,39.0,60.0
563,Łódź,690422,Science and engineering professionals,"Squash,Stretching",222,0.0,Mastercard,Married,1.0,46.0,96.0
564,Łomża,63092,Teaching professionals,Urban exploration,283,1.0,Visa,Married with kids,4.0,54.0,37.0
565,Chodzież,18877,Information and communications technicians,Bodybuilding,202,0.0,Visa,In relationship,6.0,41.0,11.0
566,Ruda Śląska,138578,"Agricultural, forestry and fishery labourers","Bodybuilding,Drama",256,1.0,Mastercard,In relationship,4.0,56.0,50.70429252782194
567,Sulejówek,19663,Market-oriented skilled agricultural workers,"Weightlifting,Origami,Gambling",106,1.0,Mastercard,Single,4.0,47.0,53.0
568,Toszek,3596,"Chief executives, senior officials and legislators","Foraging,scrapbook",387,1.0,Visa,In relationship,2.0,62.0,13.0
569,Tarnowskie Góry,61262,"Legal, social and cultural professionals","Badminton,Drama,Board games,Hunting",192,1.0,Visa,Single,4.0,34.0,4.0
570,Łódź,690422,Information and communications technology professionals,"Rowing,Ice skating,Knitting",200,1.0,Mastercard,Married with kids,5.0,46.14666666666667,52.0
571,Zielona Góra,139819,"Building and related trades workers, excluding electricians",Archery,196,1.0,Visa,In relationship,2.0,27.0,41.0
572,Warszawa,1764615,Production and specialised services managers,Computer programming,34,0.0,Mastercard,Married,4.0,43.566502463054185,63.0
573,Dobrzyca,3153,Market-oriented skilled agricultural workers,"Photography,Kayaking,Board sports",235,0.0,Mastercard,In relationship,3.0,47.0,88.0
574,Tarnów,109650,Assemblers,,197,1.0,Mastercard,In relationship,4.0,51.0,83.0
575,Luboń,31653,Production and specialised services managers,,173,1.0,Mastercard,In relationship,2.0,58.0,20.0
576,Obrzycko,2378,Numerical and material recording clerks,"Backpacking,Rugby,Yo-yoing",300,0.0,Visa,Married with kids,2.0,62.0,86.0
577,Miłakowo,2609,Refuse workers and other elementary workers,"Bodybuilding,Power bike,Board games,Surfing,Graffiti",278,0.0,Visa,In relationship,5.0,40.0,74.0
578,Kraków,767348,Electrical and electronic trades workers,"Coffee roasting,Tai chi,Taxidermy",293,1.0,Mastercard,Divorced,5.0,44.38461538461539,83.0
579,Warszawa,1764615,General and keyboard clerks,"Gym,Kettleballs",187,0.0,Revolut,Single,2.0,32.0,43.0
580,Kraków,767348,Street and related sales and service workers,Digital arts,197,0.0,Visa,Married,4.0,60.0,21.0
581,Sławków,7040,"Agricultural, forestry and fishery labourers","Amateur radio,Do it yourself",216,1.0,Visa,Single,6.0,24.0,48.0
582,Częstochowa,224376,"Building and related trades workers, excluding electricians","Cardio,Kettleballs,Sand art,Foraging",184,1.0,Mastercard,Single,5.0,26.0,5.0
583,Środa Śląska,9428,Information and communications technology professionals,"Homebrewing,Lacemaking",280,1.0,Mastercard,Married with kids,4.0,82.0,92.0
584,Gdańsk,464254,Market-oriented skilled agricultural workers,Pottery,378,1.0,Mastercard,In relationship,4.0,25.0,50.70429252782194
585,Wejherowo,49927,Assemblers,,31,1.0,Mastercard,In relationship,6.0,33.0,11.0
586,Poznań,538633,Information and communications technicians,"Badminton,Writing,Drama,Community",317,1.0,Visa,In relationship,5.0,34.0,30.0
587,Oleśnica,37300,"Building and related trades workers, excluding electricians",Orienteering,354,1.0,Mastercard,Married with kids,4.0,47.0,13.0
588,Warszawa,1764615,Production and specialised services managers,"Kettleballs,Bodybuilding,Skiing",242,1.0,Visa,In relationship,2.0,62.0,32.0
589,Sokołów Podlaski,18924,Science and engineering associate professionals,"Computer programming,Photography,Jogging",39,0.0,Visa,In relationship,1.0,56.0,16.0
590,Warszawa,1764615,"Metal, machinery and related trades workers","Gym,Crossfit,Knapping,Sculpting",230,0.0,Mastercard,Married,4.0,54.0,6.0
591,Ryglice,2831,Market-oriented skilled agricultural workers,"Stretching,Knapping",116,0.0,Visa,In relationship,5.0,24.0,5.0
592,Pruszcz Gdański,30468,"Legal, social, cultural and related associate professionals","Fitness,Crossfit,Squash,Astronomy,Writing",182,0.0,Visa,Single,4.0,52.0,49.32786885245902
593,Bydgoszcz,352313,"Legal, social, cultural and related associate professionals","Electronics,Hunting",302,1.0,Mastercard,In relationship,3.0,52.0,22.0
594,Wrocław,638586,Customer services clerks,"Leather crafting,Mountain biking,Cooking",97,1.0,Visa,Married,3.0,71.0,83.0
595,Gryfino,21393,"Market-oriented skilled forestry, fishery and hunting workers",,63,1.0,Visa,Single,5.0,63.0,44.0
596,Śrem,29845,"Legal, social and cultural professionals",,0,0.0,Visa,In relationship,2.0,24.0,18.0
597,Wadowice,18851,"Chief executives, senior officials and legislators","Skydiving,Kayaking,Polo",101,0.0,Visa,Single,4.0,60.0,32.0
598,Imielin,9052,General and keyboard clerks,,46,1.0,Visa,Divorced,3.0,44.0,58.0
599,Warszawa,1764615,"Food processing, wood working, garment and other craft and related trades workers",,36,1.0,Visa,In relationship,6.0,51.0,38.0
600,Kartuzy,14611,Business and administration associate professionals,Do it yourself,297,1.0,Mastercard,Married,4.0,43.0,3.0
601,Strzegom,16272,"Food processing, wood working, garment and other craft and related trades workers",Air sports,283,1.0,Mastercard,Married,4.0,47.0,33.0
602,Ciechanów,44303,"Market-oriented skilled forestry, fishery and hunting workers",Drawing,137,1.0,Visa,In relationship,4.0,45.672,81.0
603,Bukowno,10297,Sales workers,Cardio,217,1.0,Revolut,Single,4.0,31.0,44.0
604,Konin,74834,Science and engineering professionals,"Stretching,Badminton,Fitness,Embroidery",162,1.0,Visa,Divorced,4.0,35.0,16.0
605,Brodnica,28717,"Hospitality, retail and other services managers",,102,1.0,Visa,Married,2.0,42.0,76.0
606,Skawina,24325,Street and related sales and service workers,"Gym,Dance",204,1.0,Visa,Married,4.0,65.0,98.0
607,Oleśnica,37300,Personal service workers,"Stretching,Scuba diving",222,1.0,Visa,In relationship,3.0,71.0,5.0
608,Skierniewice,48308,"Armed forces occupations, other ranks","Gym,Jewelry making,Bodybuilding",240,0.0,Mastercard,Single,3.0,41.0,49.32786885245902
609,Góra Kalwaria,11942,Commissioned armed forces officers,Drawing,312,1.0,Mastercard,In relationship,4.0,23.0,50.70429252782194
610,Oświęcim,38678,Protective services workers,"Cycling,Knapping,Gunsmithing",94,1.0,Visa,Married with kids,3.0,61.0,90.0
611,Bydgoszcz,352313,Stationary plant and machine operators,"Urban exploration,Bodybuilding",363,0.0,Visa,Married,4.0,26.0,50.838862559241704
612,Bartoszyce,23810,Teaching professionals,,215,0.0,Mastercard,Divorced,3.0,37.0,32.0
613,Ozorków,19685,Personal care workers,"Bodybuilding,Worldbuilding",126,1.0,Visa,In relationship,2.0,35.0,42.0
614,Legnica,100324,Food preparation assistants,Sculling,82,1.0,Visa,Married with kids,4.0,32.0,86.0
615,Sochaczew,36790,"Building and related trades workers, excluding electricians","Machining,Poi,Reading",223,0.0,Visa,Single,4.0,63.0,51.0
616,Poznań,538633,Handicraft and printing workers,,185,0.0,Mastercard,In relationship,4.0,31.0,49.67351598173516
617,Konstancin-Jeziorna,17191,"Food processing, wood working, garment and other craft and related trades workers","Sculpting,role-playing games,Metalworking",147,0.0,Visa,Single,4.0,37.0,96.0
618,Słupsk,91465,"Armed forces occupations, other ranks","Stretching,Pottery",91,1.0,Visa,Married,4.0,45.29807692307692,43.0
619,Rybnik,139129,"Subsistence farmers, fishers, hunters and gatherers",,255,0.0,Visa,Married,2.0,43.0,50.838862559241704
620,Gdynia,246306,Handicraft and printing workers,,288,1.0,Visa,In relationship,3.0,87.0,31.0
621,Bydgoszcz,352313,Production and specialised services managers,"Bird watching,Yoga",134,1.0,Visa,Married,4.0,59.0,96.0
622,Warszawa,1764615,Commissioned armed forces officers,"Bodybuilding,Yoga,Hunting",236,1.0,Visa,In relationship,4.0,32.0,58.0
623,Radom,214566,Market-oriented skilled agricultural workers,"Bodybuilding,Kettleballs,Lapidary",27,1.0,Mastercard,Divorced,3.0,39.0,53.0
624,Bydgoszcz,352313,Administrative and commercial managers,"Weightlifting,Cardio,Bodybuilding,Worldbuilding,Knapping",165,0.0,Visa,Single,4.0,40.63265306122449,54.0
625,Czeladź,31901,"Hospitality, retail and other services managers","Cardio,Flying disc",258,1.0,Visa,Married,4.0,47.0,62.0
626,Katowice,296262,"Metal, machinery and related trades workers","Dance,Hooping",278,1.0,Mastercard,In relationship,4.0,59.0,50.70429252782194
627,Kraków,767348,Teaching professionals,"Fitness,Skateboarding,scrapbook",171,0.0,Mastercard,Single,2.0,34.0,49.32786885245902
628,Chojnice,39937,Refuse workers and other elementary workers,,113,0.0,Mastercard,Single,4.0,37.0,61.0
629,Toruń,202562,Personal care workers,"Badminton,Glassblowing,Parkour",162,0.0,Visa,In relationship,5.0,24.0,31.0
630,Chorzele,3069,Protective services workers,"Cardio,Rowing",189,1.0,Mastercard,Married with kids,4.0,43.0,31.0
631,Warszawa,1764615,"Legal, social, cultural and related associate professionals","Power bike,Bodybuilding",283,1.0,Visa,In relationship,3.0,53.0,26.0
632,Katowice,296262,"Subsistence farmers, fishers, hunters and gatherers","Metalworking,Glassblowing",182,0.0,Visa,In relationship,4.0,63.0,86.0
633,Zambrów,22173,Other clerical support workers,,309,0.0,Visa,In relationship,5.0,41.0,2.0
634,Warszawa,1764615,"Market-oriented skilled forestry, fishery and hunting workers","Kettleballs,Gym,Rowing,Kitesurfing",222,0.0,Mastercard,In relationship,3.0,29.0,49.67351598173516
635,Żyrardów,40243,"Food processing, wood working, garment and other craft and related trades workers","Bodybuilding,Weightlifting,Hooping",311,0.0,Mastercard,In relationship,3.0,50.0,35.0
636,Konin,74834,"Hospitality, retail and other services managers",,179,0.0,Visa,Married,3.0,38.0,28.0
637,Warka,11894,"Metal, machinery and related trades workers","Stretching,Air sports",134,0.0,Mastercard,In relationship,4.0,40.0,31.0
638,Lublin,339850,"Armed forces occupations, other ranks","Bodybuilding,role-playing games,Painting,Skydiving",142,1.0,Mastercard,In relationship,2.0,28.0,31.0
639,Lubin,72892,Assemblers,,73,0.0,Mastercard,Married with kids,4.0,46.0,52.0
640,Krynica-Zdrój,10757,Sales workers,Dance,145,1.0,Visa,Married,2.0,45.29807692307692,57.0
641,Opole,128140,"Subsistence farmers, fishers, hunters and gatherers","Rappelling,Horseback riding,Taxidermy",34,1.0,Mastercard,Divorced,4.0,24.0,46.838235294117645
642,Poznań,538633,Commissioned armed forces officers,"Weightlifting,Power bike,Sculpting,Worldbuilding",119,1.0,Visa,In relationship,6.0,66.0,93.0
643,Warszawa,1764615,Street and related sales and service workers,"Gym,Paintball",204,0.0,Mastercard,In relationship,3.0,23.0,78.0
644,Częstochowa,224376,"Armed forces occupations, other ranks","Cardio,Sewing,Community",194,1.0,Visa,In relationship,6.0,57.0,50.70429252782194
645,Lublin,339850,Commissioned armed forces officers,"Weightlifting,Geocaching",180,1.0,Mastercard,Single,5.0,33.0,72.0
646,Wisła,11106,"Labourers in mining, construction, manufacturing and transport",,79,0.0,Mastercard,Married,1.0,32.0,38.0
647,Jastrzębie-Zdrój,89590,Street and related sales and service workers,"Crocheting,BASE jumping,Playing musical instruments",203,1.0,Revolut,Married,4.0,58.0,86.0
648,Dębica,46063,General and keyboard clerks,"Weightlifting,Playing musical instruments,Book restoration",210,0.0,Mastercard,In relationship,4.0,47.0,45.0
649,Oława,32883,Science and engineering associate professionals,Digital arts,229,0.0,Mastercard,Married with kids,5.0,46.0,75.0
650,Mysłowice,74647,Other clerical support workers,Hiking,164,0.0,Mastercard,Married with kids,5.0,55.0,78.0
651,Elbląg,120895,Street and related sales and service workers,"Squash,Rock climbing,Skydiving,Baseball",21,1.0,Visa,Single,3.0,23.0,64.0
652,Kętrzyn,27478,Production and specialised services managers,"Weightlifting,Writing,Mountain biking",89,1.0,Mastercard,In relationship,2.0,62.0,95.0
653,Bydgoszcz,352313,Business and administration professionals,"Lego building,Vehicle restoration",123,0.0,Visa,Married,4.0,47.0,49.0
654,Kobyłka,23120,Stationary plant and machine operators,"Badminton,Electronics",285,1.0,Mastercard,In relationship,3.0,54.0,81.0
655,Chrzanów,37123,Personal care workers,"Gym,Metalworking,Swimming",198,0.0,Mastercard,Divorced,6.0,22.0,28.0
656,Starachowice,49513,"Legal, social and cultural professionals","Squash,Cardio,Crossfit,Digital arts",247,0.0,Mastercard,Divorced,3.0,37.0,67.0
657,Hajnówka,20919,Sales workers,"Crossfit,Kettleballs,Sailing,Skydiving",6,1.0,Visa,Married with kids,5.0,24.0,93.0
658,Warszawa,1764615,Science and engineering professionals,"Kettleballs,Rowing,Netball,Amateur radio,Kite flying",118,0.0,Mastercard,Married,5.0,38.0,22.0
659,Stalowa Wola,61903,Science and engineering professionals,"Fitness,3D printing",254,1.0,Visa,Single,5.0,42.77777777777778,50.0
660,Kraków,767348,"Chief executives, senior officials and legislators",,227,0.0,Mastercard,Married with kids,3.0,40.0,46.0
661,Gdynia,246306,Health associate professionals,"Electronics,Writing,Baseball",278,0.0,Mastercard,In relationship,5.0,60.0,29.0
662,Łódź,690422,Non-commissioned armed forces officers,"Bodybuilding,Kettleballs,Slacklining",274,1.0,Visa,In relationship,6.0,39.0,4.0
663,Bełchatów,57964,"Armed forces occupations, other ranks","Candle making,Netball",252,1.0,Visa,In relationship,5.0,35.0,57.0
664,Tarnów,109650,Business and administration professionals,"Rowing,Cardio,Sudoku",164,0.0,Mastercard,Married,5.0,55.0,53.0
665,Bydgoszcz,352313,Health associate professionals,"Cardio,Badminton,amateur radio",222,0.0,Visa,Married,1.0,23.0,37.0
666,Gdańsk,464254,Electrical and electronic trades workers,,160,0.0,Mastercard,In relationship,1.0,24.0,5.0
667,Elbląg,120895,Protective services workers,Computer programming,92,0.0,Visa,Married with kids,4.0,23.0,3.0
668,Warszawa,1764615,Assemblers,"Stretching,Brazilian jiu-jitsu,Yoga",266,0.0,Mastercard,Single,3.0,60.0,44.0
669,Dobczyce,6425,Commissioned armed forces officers,,197,0.0,Mastercard,Married with kids,5.0,32.0,45.0
670,Prabuty,8710,Health associate professionals,"BASE jumping,Puzzles,Cosplaying",176,0.0,Visa,In relationship,6.0,34.0,40.0
671,Stalowa Wola,61903,Administrative and commercial managers,"Bodybuilding,3D printing",209,0.0,Mastercard,Married with kids,2.0,65.0,55.0
672,Zawadzkie,7250,Information and communications technicians,Power bike,163,1.0,Visa,Married,6.0,33.0,6.0
673,Bielawa,30207,Business and administration professionals,,247,1.0,Mastercard,Married,2.0,54.0,94.0
674,Łódź,690422,Information and communications technicians,"Fitness,Urban exploration,Gambling,Baseball",290,1.0,Visa,Married,2.0,67.0,44.0
675,Sławków,7040,Protective services workers,,28,1.0,Visa,Married,4.0,46.0,48.475083056478404
676,Kraków,767348,"Labourers in mining, construction, manufacturing and transport",,177,1.0,Visa,Married,3.0,51.0,67.0
677,Rabka-Zdrój,12883,Administrative and commercial managers,Shooting,294,1.0,Visa,In relationship,4.0,55.0,50.70429252782194
678,Poznań,538633,Refuse workers and other elementary workers,,252,1.0,Mastercard,In relationship,5.0,63.0,46.0
679,Warszawa,1764615,Electrical and electronic trades workers,"Poi,Sailing,Paintball",130,1.0,Mastercard,Married,3.0,33.0,92.0
680,Gdańsk,464254,Refuse workers and other elementary workers,"Fashion,Ice skating,Cryptography",154,1.0,Mastercard,In relationship,4.0,24.0,10.0
681,Trzebiatów,10025,Production and specialised services managers,"Wood carving,Watching movies,Motor sports",206,0.0,Visa,In relationship,4.0,22.0,44.0
682,Warszawa,1764615,"Building and related trades workers, excluding electricians","Badminton,Gym,amateur radio",369,1.0,Mastercard,In relationship,6.0,54.0,71.0
683,Szczecinek,40292,Food preparation assistants,"Cardio,Stretching,Ice skating",268,0.0,Visa,In relationship,1.0,24.0,49.67351598173516
684,Lwówek Śląski,8895,Science and engineering associate professionals,"Stretching,Shopping",209,1.0,Visa,Single,6.0,47.0,47.0
685,Łódź,690422,"Subsistence farmers, fishers, hunters and gatherers",,75,0.0,Visa,Single,3.0,69.0,72.0
686,Rawa Mazowiecka,17480,"Armed forces occupations, other ranks","Knapping,Horseback riding",231,1.0,Mastercard,In relationship,2.0,37.0,50.70429252782194
687,Wolbrom,8686,Business and administration associate professionals,"Lapidary,Motor sports,Bird watching",5,1.0,Visa,Married,5.0,64.0,34.0
688,Gorzów Wielkopolski,124295,Business and administration professionals,"Squash,Rowing,Badminton,Rock climbing",148,1.0,Visa,In relationship,3.0,41.0,81.0
689,Rumia,48632,Electrical and electronic trades workers,"Crossfit,Computer programming,Tai chi,Lacemaking",150,0.0,Revolut,Single,6.0,52.0,14.0
690,Będzin,57343,Administrative and commercial managers,"Power bike,Badminton,Painting,Driving,Scuba diving",292,0.0,Visa,Single,2.0,57.0,82.0
691,Chojnice,39937,Health professionals,"Cardio,Power bike,Playing musical instruments",193,0.0,Mastercard,In relationship,4.0,23.0,31.0
692,Otwock,44873,Handicraft and printing workers,Origami,127,1.0,Mastercard,Married,2.0,45.0,89.0
693,Lublin,339850,Electrical and electronic trades workers,"Rowing,Cardio,Roller skating",138,0.0,Visa,Married with kids,4.0,49.0,20.0
694,Legionowo,54041,Business and administration associate professionals,"Bodybuilding,Badminton",46,1.0,Mastercard,Married with kids,2.0,46.14666666666667,43.0
695,Gorzów Wielkopolski,124295,Information and communications technicians,"Fashion,Knife making",48,1.0,Mastercard,In relationship,4.0,37.0,43.0
696,Kraków,767348,Sales workers,"Crossfit,Cardio,Bodybuilding",249,1.0,Mastercard,Married with kids,5.0,28.0,84.0
697,Warszawa,1764615,Cleaners and helpers,Gym,134,1.0,Visa,In relationship,5.0,45.672,64.0
698,Tychy,128211,Information and communications technology professionals,Listening to music,246,0.0,Mastercard,In relationship,1.0,29.0,87.0
699,Wrocław,638586,Administrative and commercial managers,"Kettleballs,Rowing,Squash",173,1.0,Mastercard,In relationship,5.0,23.0,1.0
700,Lublin,339850,Protective services workers,Board games,144,1.0,Mastercard,Married with kids,3.0,31.0,49.55
701,Gdańsk,464254,Production and specialised services managers,"Sketching,Parkour,Genealogy",349,1.0,Visa,Married with kids,3.0,23.0,79.0
702,Zielona Góra,139819,Information and communications technology professionals,"Jigsaw puzzles,Rafting",138,1.0,Mastercard,In relationship,3.0,57.0,96.0
703,Tarnów,109650,Other clerical support workers,"Sailing,Cycling,Calligraphy",37,1.0,Mastercard,Divorced,5.0,53.0,50.0
704,Wałbrzych,113621,"Legal, social, cultural and related associate professionals",,241,1.0,Revolut,Married with kids,2.0,61.0,54.0
705,Jelenia Góra,80072,"Legal, social, cultural and related associate professionals","Stretching,Playing musical instruments,Table tennis",212,0.0,Mastercard,In relationship,2.0,37.0,24.0
706,Głogów,68179,"Legal, social, cultural and related associate professionals","Genealogy,Graffiti",134,0.0,Visa,In relationship,5.0,67.0,98.0
707,Tarnogród,3395,Health associate professionals,"Squash,Poi,Knitting,Slacklining",264,1.0,Mastercard,Married,4.0,59.0,79.0
708,Katowice,296262,"Food processing, wood working, garment and other craft and related trades workers",Rafting,288,1.0,Visa,Married,3.0,69.0,28.0
709,Żyrardów,40243,"Metal, machinery and related trades workers","Weightlifting,Stretching,Kettleballs,Bodybuilding",188,0.0,Revolut,Single,3.0,56.0,81.0
710,Świecie,25924,Drivers and mobile plant operators,"Squash,Cryptography,Driving",115,1.0,Visa,Single,2.0,23.0,98.0
711,Zielona Góra,139819,General and keyboard clerks,,153,0.0,Mastercard,In relationship,4.0,29.0,6.0
712,Bydgoszcz,352313,"Subsistence farmers, fishers, hunters and gatherers","Soapmaking,Acting,tabletop games",91,0.0,Visa,In relationship,2.0,36.0,79.0
713,Gdańsk,464254,Street and related sales and service workers,Glassblowing,287,0.0,Visa,Single,4.0,23.0,47.0
714,Marki,32686,Sales workers,"Video gaming,Magic",296,1.0,Visa,In relationship,4.0,56.0,83.0
715,Stalowa Wola,61903,Personal care workers,,117,0.0,Visa,Married with kids,5.0,51.0,77.0
716,Murowana Goślina,10391,"Armed forces occupations, other ranks","Flag Football,Singing,Crocheting",230,1.0,Visa,In relationship,4.0,52.0,50.70429252782194
717,Łódź,690422,Other clerical support workers,Beekeeping,307,1.0,Mastercard,Married,5.0,63.0,19.0
718,Rawa Mazowiecka,17480,Refuse workers and other elementary workers,,233,0.0,Visa,In relationship,3.0,42.0,22.0
719,Gorzów Wielkopolski,124295,"Labourers in mining, construction, manufacturing and transport","Stretching,Horseback riding,Foreign language learning",314,1.0,Visa,In relationship,5.0,23.0,74.0
720,Warszawa,1764615,"Legal, social and cultural professionals","Weightlifting,Bodybuilding,Sculpting",287,0.0,Revolut,In relationship,6.0,43.0,8.0
721,Szczecin,403883,Cleaners and helpers,"Backpacking,Lockpicking",276,1.0,Visa,Married,4.0,63.0,97.0
722,Katowice,296262,"Food processing, wood working, garment and other craft and related trades workers","Table tennis,Sculpting,Paintball",311,1.0,Mastercard,In relationship,4.0,22.0,73.0
723,Szczecin,403883,"Labourers in mining, construction, manufacturing and transport",Board sports,321,0.0,Mastercard,In relationship,6.0,63.0,60.0
724,Nowy Dwór Mazowiecki,28637,"Building and related trades workers, excluding electricians","Electronics,Flag Football,amateur radio",148,0.0,Visa,Married,4.0,24.0,13.0
725,Wągrowiec,25607,Protective services workers,"Power bike,Archery,Kite flying,Backpacking",254,0.0,Visa,Married,1.0,43.0,27.0
726,Rzeszów,189662,Information and communications technicians,"Tai chi,Wood carving,Blacksmithing",98,1.0,Visa,In relationship,5.0,70.0,18.0
727,Wrocław,638586,Sales workers,"Sketching,Dance,Snowboarding",139,1.0,Visa,Single,1.0,38.0,66.0
728,Kowary,11090,Health professionals,"Power bike,Rappelling",245,1.0,Visa,Single,5.0,42.77777777777778,49.454054054054055
729,Łańcut,17777,Personal service workers,Quilting,191,0.0,Mastercard,In relationship,4.0,67.0,3.0
730,Bielsko-Biała,171505,"Metal, machinery and related trades workers","Coffee roasting,Stand-up comedy,Fashion",342,1.0,Visa,Married with kids,1.0,57.0,26.0
731,Płock,120787,Protective services workers,,7,0.0,Mastercard,Married with kids,5.0,39.0,2.0
732,Słupsk,91465,"Legal, social, cultural and related associate professionals",Woodworking,4,1.0,Mastercard,In relationship,5.0,44.0,54.0
733,Kłodawa,6530,Numerical and material recording clerks,,125,0.0,Mastercard,In relationship,3.0,44.0,63.0
734,Toruń,202562,"Hospitality, retail and other services managers","Squash,Kabaddi",207,1.0,Visa,In relationship,3.0,36.0,34.0
735,Inowrocław,73577,Teaching professionals,"Badminton,Hunting",64,1.0,Mastercard,In relationship,5.0,55.0,52.0
736,Olsztyn,173070,"Legal, social and cultural professionals","Crossfit,Digital arts,Cryptography",130,0.0,Visa,Single,2.0,25.0,60.0
737,Częstochowa,224376,Refuse workers and other elementary workers,"Squash,Photography,Writing,Gaming",95,1.0,Visa,Single,4.0,70.0,66.0
738,Zambrów,22173,Handicraft and printing workers,"Kettleballs,Calligraphy,Juggling",330,1.0,Mastercard,Married with kids,4.0,53.0,57.0
739,Wągrowiec,25607,"Legal, social, cultural and related associate professionals","role-playing games,Scouting,Board games",159,0.0,Visa,Single,6.0,40.63265306122449,49.32786885245902
740,Gdynia,246306,Business and administration professionals,"Badminton,Photography,Air sports,Singing",60,1.0,Mastercard,Married with kids,6.0,41.0,67.0
741,Kraków,767348,Science and engineering associate professionals,,107,1.0,Mastercard,In relationship,3.0,57.0,21.0
742,Pajęczno,6792,Street and related sales and service workers,,118,1.0,Visa,Married with kids,5.0,58.0,92.0
743,Bydgoszcz,352313,Refuse workers and other elementary workers,,204,0.0,Mastercard,Married,5.0,56.0,18.0
744,Miechów,11696,Food preparation assistants,,220,0.0,Visa,In relationship,1.0,52.0,54.0
745,Kraków,767348,"Building and related trades workers, excluding electricians","Bodybuilding,role-playing games",225,1.0,American Express,In relationship,3.0,56.0,20.0
746,Tarnowskie Góry,61262,Science and engineering associate professionals,,0,1.0,Mastercard,In relationship,4.0,47.0,3.0
747,Malbork,38723,Health professionals,"Orienteering,Community",299,1.0,Revolut,Married with kids,2.0,27.0,4.0
748,Ruda Śląska,138578,Science and engineering associate professionals,"Bodybuilding,Paintball,Scuba diving",257,1.0,Mastercard,In relationship,3.0,34.0,48.0
749,Włocławek,111752,Commissioned armed forces officers,"Crossfit,Running",228,0.0,Mastercard,In relationship,4.0,57.0,4.0
750,Piotrków Trybunalski,74312,Food preparation assistants,"Crossfit,Woodworking,Basketball",87,0.0,Visa,In relationship,4.0,33.0,29.0
751,Dobrzany,2288,"Market-oriented skilled forestry, fishery and hunting workers","Rock climbing,Yoga",196,0.0,Visa,Single,5.0,40.63265306122449,70.0
752,Kraków,767348,"Food processing, wood working, garment and other craft and related trades workers","Metal detecting,Mushroom hunting",307,1.0,Visa,In relationship,5.0,53.0,73.0
753,Aleksandrów Łódzki,21535,"Armed forces occupations, other ranks","Sketching,Rugby,Video gaming",147,1.0,Mastercard,Single,1.0,42.0,94.0
754,Gdynia,246306,Stationary plant and machine operators,"Badminton,LARPing",123,1.0,Visa,Single,2.0,45.0,4.0
755,Namysłów,16360,"Legal, social and cultural professionals","Ice skating,Reading,Computer programming",286,1.0,Mastercard,Married with kids,4.0,66.0,58.0
756,Warszawa,1764615,"Metal, machinery and related trades workers","Crossfit,Genealogy,Handball,Stone skipping",142,0.0,Visa,In relationship,6.0,24.0,62.0
757,Konin,74834,Assemblers,"Power bike,Fitness,Crocheting,Yo-yoing",216,1.0,Visa,Single,3.0,46.0,49.454054054054055
758,Opole Lubelskie,8605,Health professionals,"Fishing,Netball",9,0.0,Mastercard,Married,5.0,39.0,81.0
759,Szczytno,23500,Personal care workers,Gambling,323,1.0,Visa,In relationship,5.0,42.0,43.0
760,Kraków,767348,Science and engineering professionals,Taxidermy,208,1.0,Visa,In relationship,4.0,42.0,43.0
761,Gdańsk,464254,"Legal, social, cultural and related associate professionals","Bodybuilding,Gym,Fitness",215,0.0,Visa,Married with kids,4.0,45.26573426573427,17.0
762,Przemyśl,61808,Street and related sales and service workers,"Crossfit,scrapbook,Gardening",103,0.0,Mastercard,Married with kids,2.0,57.0,84.0
763,Płońsk,22214,"Hospitality, retail and other services managers","Weightlifting,Water sports",185,0.0,Mastercard,Single,1.0,62.0,80.0
764,Szczytno,23500,Food preparation assistants,Cardio,281,0.0,Mastercard,Married,3.0,35.0,93.0
765,Świnoujście,41032,"Legal, social and cultural professionals","Beekeeping,Photography",265,1.0,Visa,In relationship,3.0,22.0,50.70429252782194
766,Piła,73791,"Market-oriented skilled forestry, fishery and hunting workers",Bird watching,126,1.0,Mastercard,In relationship,3.0,42.0,32.0
767,Tychy,128211,Health associate professionals,"Fitness,Vacation",208,0.0,Visa,Married,4.0,42.0,0.0
768,Ćmielów,3014,"Food processing, wood working, garment and other craft and related trades workers",,305,0.0,Mastercard,In relationship,2.0,43.69859813084112,83.0
769,Łódź,690422,Market-oriented skilled agricultural workers,"Woodworking,Sketching,3D printing",178,1.0,Mastercard,In relationship,5.0,55.0,85.0
770,Myszków,31974,"Armed forces occupations, other ranks","Weightlifting,Video gaming,Graffiti",170,1.0,Mastercard,Married,3.0,28.0,75.0
771,Płock,120787,Refuse workers and other elementary workers,"Leather crafting,Backpacking",177,1.0,Mastercard,Single,4.0,47.0,1.0
772,Jawor,23266,"Subsistence farmers, fishers, hunters and gatherers","Video gaming,Surfing",385,1.0,Visa,Married with kids,3.0,67.0,83.0
773,Piaski,2598,Business and administration professionals,"Squash,Power bike,Snowboarding,Rappelling,Video gaming",64,1.0,Visa,Married with kids,4.0,53.0,85.0
774,Wysokie Mazowieckie,9390,General and keyboard clerks,"Fitness,Gym,Slacklining,Playing musical instruments,role-playing games",209,0.0,Mastercard,Married,5.0,43.566502463054185,93.0
